Timestamp,Vote [MHEDUSA],Vote [PHENIX],Vote [HEDGEHOG],Vote [CANDi],Vote [DANDELION(Z)],Vote [CANDELA],Vote [MIT HEDP],Vote [J(H)EDI],Vote [MBAR],Vote [DARKSIDE]
2024/07/25 4:09:01 PM AST,3,2,6,4,6,4,5,1,4,6
2024/07/25 4:09:49 PM AST,10,10,10,5,6,1,1,10,1,10
2024/07/25 4:12:01 PM AST,3,1,5,6,2,4,7,8,9,4
2024/07/25 4:13:20 PM AST,3,2,3,1,2,1,1,3,3,3
2024/07/25 4:29:17 PM AST,5,1,2,5,5,4,9,3,5,7
2024/07/25 4:44:29 PM AST,5,2,3,6,1,4,9,10,7,8
2024/07/25 5:15:21 PM AST,7,2,6,4,3,5,10,8,1,9
2024/07/25 5:58:55 PM AST,8,3,9,4,1,2,10,6,5,7
2024/07/29 1:08:05 PM AST,10,4,10,3,3,1,3,10,1,10
2024/08/02 7:42:39 PM AST,5,6,3,2,1,2,4,8,9,7
2024/08/02 8:18:24 PM AST,8,7,5,4,9,2,1,3,10,6
2024/08/05 12:01:21 AM AST,7,3,5,4,2,2,2,7,1,7
